Id,Name,Code,Latitude,Longitude,City,CountryName,CountryCode,TimezoneOffset
316329,Rize–Artvin Airport,RZV,41.179766,40.848802,Rize,Turkey,TR,0
4570,Bălți-Leadoveni International Airport,BZY,47.837666,27.781108,Bălți,Moldova,MD,0
4571,Chişinău International Airport,RMO,46.92774,28.931704,Chişinău,Moldova,MD,0
44006,Daugavpils International Airport,DGP,55.944721,26.665001,Daugavpils,Latvia,LV,0
313843,Lebak Rural Airport,LWA,6.6739,124.0581,Lebak,Philippines,PH,0
4572,Ohrid St. Paul the Apostle Airport,OHD,41.18,20.7423,Ohrid,North Macedonia,MK,0
4573,Skopje International Airport,SKP,41.958087,21.622581,Ilinden,North Macedonia,MK,0
4574,Gibraltar Airport,GIB,36.151679,-5.34978,Gibraltar,Gibraltar,GI,0
30688,Brak Airport,BCQ,27.653,14.272,Brak,Libya,LY,0
30928,Martuba Air Base,DNF,32.542,22.745001,Martuba,Libya,LY,0
4610,Belgrade Nikola Tesla Airport,BEG,44.818401,20.309099,Belgrade,Serbia,RS,0
42777,Berane Airport,IVG,42.8390007019043,19.86199951171875,Berane,Montenegro,ME,0
4611,Batajnica Air Base,BJY,44.935299,20.2575,Zemun,Serbia,RS,0
31872,Morava Airport,KVO,43.817519,20.586662,Kraljevo,Serbia,RS,0
4612,Niš Constantine the Great Airport,INI,43.336538,21.856242,Niš,Serbia,RS,0
4613,Podgorica Airport / Podgorica Golubovci Airbase,TGD,42.359402,19.2519,Podgorica,Montenegro,ME,0
4615,Tivat Airport,TIV,42.404701,18.723301,Tivat,Montenegro,ME,0
1649,Ponikve Airport,UZC,43.898899,19.697701,Stapari,Serbia,RS,0
354840,Langzhong Gucheng Airport,LZG,31.50191,106.034417,Nanchong (Langzhong),China,CN,0
4617,M. R. Štefánik Airport,BTS,48.1702,17.2127,Bratislava,Slovakia,SK,0
4618,Košice International Airport,KSC,48.663101,21.2411,Košice,Slovakia,SK,0
31861,Lučenec Airfield,LUE,48.339401,19.7358,Lučenec,Slovakia,SK,0
4620,Piešťany Airport,PZY,48.62519836425781,17.828399658203125,Piešťany,Slovakia,SK,0
30288,Prešov Air Base,POV,49.02970123291,21.315599441528,Prešov,Slovakia,SK,0
4621,Sliač Airport,SLD,48.63779830932617,19.13409996032715,Sliač,Slovakia,SK,0
4623,Poprad-Tatry Airport,TAT,49.070994,20.241394,Poprad,Slovakia,SK,0
4624,Žilina-Dolný Hričov Airport,ILZ,49.233292,18.613386,Dolný Hričov,Slovakia,SK,0
21739,Drummond Airport,DRU,46.621599,-113.201751,Drummond,United States,US,0
31539,Guelmim Airport,GLN,29.026699,-10.0503,Guelmim,Morocco,MA,0
21796,Ware Airport,UWA,42.282001495361,-72.214797973633,Ware,United States,US,0
302541,Mamai Airport,MAP,-10.290833,149.519167,Mamai,Papua New Guinea,PG,0
4626,JAGS McCartney International Airport,GDT,21.4445,-71.142303,Cockburn Town,Turks and Caicos Islands,TC,0
31887,Middle Caicos Airport,MDS,21.82602,-71.8025,Middle Caicos,Turks and Caicos Islands,TC,0
4627,North Caicos Airport,NCA,21.916094,-71.942954,North Caicos,Turks and Caicos Islands,TC,0
32159,Pine Cay Airport,PIC,21.874661,-72.090573,Pine Cay,Turks and Caicos Islands,TC,0
4628,Providenciales International Airport,PLS,21.773697,-72.268321,Providenciales,Turks and Caicos Islands,TC,0
4629,South Caicos Airport,XSC,21.515699,-71.528503,South Caicos,Turks and Caicos Islands,TC,0
32325,Salt Cay Airport,SLX,21.333000183099998,-71.1999969482,Salt Cay,Turks and Caicos Islands,TC,0
4632,Maria Montez International Airport,BRX,18.25149917602539,-71.12039947509766,Barahona,Dominican Republic,DO,0
4633,Cabo Rojo Airport,CBJ,17.929000854492188,-71.6447982788086,Cabo Rojo,Dominican Republic,DO,0
30673,Samaná El Catey International Airport,AZS,19.269259,-69.737405,Samana,Dominican Republic,DO,0
29799,Constanza - Expedición 14 de Junio National Airport,COZ,18.907499,-70.721901,Costanza,Dominican Republic,DO,0
4634,La Isabela International Airport,JBQ,18.572500228881836,-69.98560333251953,La Isabela,Dominican Republic,DO,0
4635,Casa De Campo International Airport,LRM,18.452222,-68.911111,La Romana,Dominican Republic,DO,0
4636,Punta Cana International Airport,PUJ,18.567093,-68.364558,Punta Cana,Dominican Republic,DO,0
4637,Gregorio Luperon International Airport,POP,19.7579,-70.57,Puerto Plata,Dominican Republic,DO,0
4638,Las Américas International Airport,SDQ,18.42970085144,-69.668899536133,Santo Domingo,Dominican Republic,DO,0
4640,Cibao International Airport,STI,19.40406,-70.604431,Santiago,Dominican Republic,DO,0
313964,Médouneu Airport,MDV,1.1985,10.7552,"Médouneu, Gabon",Equatorial Guinea,GQ,0
